"Date","iOS","Android","BlackBerry OS","Windows","Unknown","Samsung","SymbianOS","Series 40","Playstation","Nintendo 3DS","webOS","Nintendo","Linux","LG","Brew","Sony Ericsson","Nokia Unknown","Other"
2009,57.9,6.16,16.4,2.57,5.99,1.27,2.2,0,4.15,0,0.74,0.36,0.14,0.39,0,0.3,0,1.43
2010,38.31,18.71,31.45,0.33,4.5,2.19,1.22,0,1.14,0,1.09,0.41,0,0.16,0,0.27,0,0.22
2011,38.33,35.32,16.47,0.77,2.49,1.46,3.61,0,0.59,0.01,0.37,0.28,0.01,0.04,0,0.18,0,0.06
2012,49.48,40.63,3.46,1.12,1.16,0.71,0.73,1.43,0.36,0.41,0.07,0.15,0.06,0.01,0.08,0.05,0,0.09
2013,52.79,39.25,3.42,1.44,0.58,0.5,0.32,0.92,0.13,0.26,0.01,0.09,0.1,0.05,0.08,0.03,0.01,0.02
2014,52.3,42.58,1.58,1.67,0.36,0.27,0.16,0.68,0.11,0.06,0,0.03,0.07,0.06,0.03,0.01,0.04,0.01
2015,50.85,46.42,0.48,1.64,0.17,0.05,0.03,0.1,0.08,0.04,0,0.01,0.03,0.03,0.02,0.01,0.05,0.01
2016,53.19,45.2,0.19,0.9,0.21,0.09,0.01,0.03,0.05,0.02,0,0,0.02,0.02,0.02,0,0.05,0.01
2017,53.89,45.23,0.09,0.33,0.19,0.15,0.01,0.01,0.03,0.02,0,0,0.01,0.01,0.01,0,0.02,0
2018,54.82,44.73,0.04,0.15,0.12,0.07,0,0.01,0.02,0.01,0,0,0.01,0.01,0.01,0,0,0.01
2019,55.23,44.51,0.03,0.07,0.03,0.07,0,0,0.01,0.01,0,0,0.01,0,0.01,0,0,0.01
2020,59.54,40.27,0.01,0.03,0.02,0.1,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01
2021,58.58,41.11,0.01,0.01,0.01,0.26,0,0,0,0,0,0,0,0,0,0,0,0.01
2022,56.74,42.94,0,0.02,0.01,0.26,0,0,0,0,0,0,0,0,0,0,0,0.01
2023,58.1,41.46,0,0.07,0.03,0.27,0.02,0,0,0,0,0,0.02,0,0,0,0,0.02
