"Date","Nokia","Apple"
2010-04,37.58,33.15
2010-05,37.37,33.09
2010-06,38.28,30.71
2010-07,36.78,30.09
2010-08,36.4,29.82
2010-09,38.06,26.72
2010-10,37.81,26.5
2010-11,36.54,25.72
2010-12,34.4,28.04
2011-01,35.58,30.2
2011-02,36.36,29.83
2011-03,36.51,29.76
2011-04,37.88,28.6
2011-05,38.39,27.63
2011-06,41.34,25.11
2011-07,40.23,25.22
2011-08,40.18,24.65
2011-09,40.04,27.06
2011-10,36.08,28.78
2011-11,36.74,29.07
2011-12,39.43,27.06
2012-01,37.67,28.67
2012-02,35.96,30.58
2012-03,32.51,24.87
2012-04,29.25,21.47
2012-05,30.35,22.04
2012-06,30.65,24.56
2012-07,28.05,25.43
2012-08,27.69,24.49
2012-09,27.52,23.64
2012-10,26.93,23.73
2012-11,26.31,23.81
2012-12,25.97,23.27
2013-01,22.69,25.86
2013-02,23.04,27.22
2013-03,24.32,27.16
2013-04,25,26.48
2013-05,25.39,25.87
2013-06,25.47,25.09
2013-07,25.19,24.74
2013-08,25.69,23.39
2013-09,26.16,22.68
2013-10,25.54,20.5
2013-11,27.11,21.9
2013-12,27.48,21.79
2014-01,27.85,23.52
2014-02,30.4,22.94
2014-03,30.57,23.57
2014-04,31.59,23.21
2014-05,32.79,23.21
2014-06,32.6,24.25
2014-07,32.55,24.87
2014-08,32.77,23.55
2014-09,33.13,24.72
2014-10,33.68,25.96
2014-11,33.86,23.02
2014-12,33,23.51
2015-01,32.21,22.75
2015-02,32,23.17
2015-03,32.09,22.64
2015-04,32.26,20.78
2015-05,32.2,20.22
2015-06,31.57,20.22
2015-07,31.4,20.41
2015-08,31.73,19.03
2015-09,32.52,18.14
2015-10,32.64,17.7
2015-11,31.76,19.3
2015-12,30.92,19.21
2016-01,30.56,19.58
2016-02,30.63,19.47
2016-03,32.65,18.82
2016-04,32.34,18.8
2016-05,32.17,18.63
2016-06,32.49,20.33
2016-07,32.19,19.89
2016-08,32.17,20.07
2016-09,32.33,19.38
2016-10,32.7,19.12
2016-11,34.09,18.85
2016-12,33.63,18.89
2017-01,33.71,19.73
2017-02,33.11,19.45
2017-03,33.16,19.5
2017-04,33.02,19.87
2017-05,33.17,19.32
2017-06,33.1,19.35
2017-07,33.4,18.78
2017-08,33.12,20.32
2017-09,33.71,19.37
2017-10,32.63,19.99
2017-11,31.88,20.34
2017-12,31.65,19.91
2018-01,31.81,19.64
2018-02,31.94,20.15
2018-03,31.14,20.83
2018-04,30.76,19.23
2018-05,30.15,18.97
2018-06,30.66,18.91
2018-07,30.7,19.4
2018-08,30.9,20.45
2018-09,30.8,20.66
2018-10,30.07,22.34
2018-11,28.34,24.44
2018-12,30.91,21.98
2019-01,32.16,22.85
2019-02,31.52,23.28
2019-03,31.77,22.4
2019-04,32.16,22.76
2019-05,31.55,22.66
2019-06,31.98,22.04
2019-07,31.13,22.01
2019-08,31.47,22.17
2019-09,31.18,22.48
2019-10,31.49,22.09
2019-11,31.36,22.9
2019-12,31.37,24.79
2020-01,31.29,24.76
2020-02,30.91,25.89
2020-03,30.8,27.03
2020-04,30.41,28.79
2020-05,30.18,26.72
2020-06,31.06,25.26
2020-07,30.95,24.82
2020-08,31.04,25.15
2020-09,30.57,24.98
2020-10,30.25,26.53
2020-11,30.36,28.19
2020-12,29.14,26.91
2021-01,28.97,27.47
2021-02,28.52,27.33
2021-03,28.35,27.41
2021-04,28.15,27
2021-05,27.84,26.46
2021-06,27.48,26.35
2021-07,27.33,26.92
2021-08,27.92,26.42
2021-09,27.55,26.75
2021-10,27.06,28.21
2021-11,27.18,28.54
2021-12,26.93,29.24
2022-01,27.18,29.49
2022-02,27.68,28.29
2022-03,28.22,27.57
2022-04,27.94,27.68
2022-05,28.25,27.83
2022-06,28.24,27.22
2022-07,28.17,27.5
2022-08,28.76,27.83
2022-09,28.41,27.8
2022-10,28.21,28.41
2022-11,28.33,27.48
2022-12,27.38,26.98
2023-01,0,27.6
2023-02,0,27.1
2023-03,0,28.42
2023-04,0,30.61
2023-05,0,31.44
2023-06,0,28.44
2023-07,0,28.39
2023-08,0,28.53
2023-09,0,29.58
2023-10,0,29.65
2023-11,0,29.12
2023-12,0,28.8
